typ;name;aadr;eadr;sadr;dir;file;md5;doublette
C;EDAS;2800;3FFF;2800;z1013/Sammlung IGD/igd15b MC 4;C.EDAS.z80;55185b5afdafab8f3fcba884bba390d9;N
b;VERFOLGUNG1;1000;2502;0000;z1013/Sammlung IGD/igd03b TINY 1;b.VERFOLGUNG 1.z80;1a9b48ef524f68a090259d4f01c8abe2;N
B;LEBENSERWARTUNG;2BC0;3A16;0000;z1013/a_ziermann/games;B.LEBENSERWARTUNG.z80;dc554d4b485cd703ec59f2d81fb8217c;N
B;KNOSSOS;2BC0;3920;0302;z1013/Sammlung IGD/igd22a KC-BASIC+ 4;B.KNOSSOS.z80;e8f0d5298414df98eda86b015fc83d62;N
b;***SCHIFF***1L;1000;3602;0000;z1013/Sammlung IGD/igd03b TINY 1;b.SCHIFF1 L.z80;d39e797cc9560b09bd0588345d9755f0;N
C;DIAGRAMM;3DB0;3FFF;3F30;z1013/Sammlung IGD/igd23b MC 8;C.DIAGRAMM.z80;a618825077ef75fc6b51e6ac450ba187;N
B;PARTNER;2BC0;4AE8;0000;z1013/Sammlung IGD/igd08a KC-Basic+ 2;B.PARTNER.z80;ddafce51cfe094a844ad6552d6d05dd5;N
s;JO21;4000;4A50;7FFF;z1013/a_ziermann/nu/joyinit;s.JO21.z80;dc0918bb6ac98ceddb66a003a979d4cf;N
T;SYS2.DOC;4000;6A7F;0000;z1013/Sammlung IGD/igd11a MC 3;T.SYS2.DOC.z80;67a22ec8ad8692f3eafe36ed111275f5;N
C;Z1013BASIC3K;0100;0BFF;0100;z1013/m0111 Z1013 BASIC;C.Z1013 BASIC 3K.z80;07376b57616bc540550841fe056bd5c4;N
M;NSWEEP.COM;0100;2EFF;0046;z1013/Sammlung IGD/igd02a CPM 1;M.NSWEEP.COM.z80;69253ddfc415f22535a45473f8fbaf1e;N
C;TDL-BASICRB1;0300;3200;0300;z1013/Sammlung IGD/igd19a MC 7;C.TDL-BASIC RB1.z80;98d6521a857e6e9fe0dd6f8bb9448fd0;N
B;WURM-T;2BC0;3D65;2B50;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.WURM-T.z80;40225156d1b7f80e540c26155554bc39;N
C;HCopyFTF800;E800;EBFF;E800;z1013/Sammlung IGD/igd16b MC 5;C.HCopy FT F800.z80;9dc9076242a2ec9360cf488b9d0337ee;N
C;GHOST/S;0100;2000;0200;z1013/Sammlung IGD/igd15b MC 4;C.GHOST_S.z80;874cced83026c62091ebf78a8523bd9d;N
C;TAPELIST-VT;0100;0800;0100;z1013/Sammlung IGD/igd16a MC 5;C.TAPELIST-VT.z80;09642e41d455dc9491bd71ba1571fef1;N
I;ED81V2.1;3000;350E;0000;z1013/Sammlung IGD/igd10b Text 1;I.ED81  V2.1.z80;470a2fb145db3dc03db2eaac6bac5968;N
E;ZG-INCOM;7000;77FF;0000;z1013/a_ziermann/sonst/charset;E.ZG-INCOM.z80;510e1614431e8f8fa2f69afa36ed13cd;N
M;FORLIB.REL;0100;6FFF;0110;z1013/Sammlung IGD/igd21a CPM 3;M.FORLIB.REL.z80;a036ef525f79ee490105eaf15447ffda;N
C;LIFE;0100;0410;0100;z1013/Sammlung IGD/igd28b MC 9;C.LIFE.z80;e0baff6b82a3b7c1da9727214b28be18;N
M;INIT800.COM;0100;051F;0100;z1013/Sammlung IGD/igd24a CPM 4;M.INIT800.COM.z80;3ba71086950845069acb2fb03d426c06;N
C;REASSEMBLER;3600;3FFF;3600;z1013/Sammlung IGD/igd17b MC 6;C.REASSEMBLER.z80;5fce7b6b9a4dd5fa4f482e7e1af56682;N
